"DR.Number","Date.Occurred","Time.Occurred","Hour","Weapon.Description","Status.Description","Address","Cross.Street","Longitude","Latitude"
121306177,"02/05/2012",2110,21,"SEMI-AUTOMATIC PISTOL","Invest Cont","OLYMPIC","MCGARRY",-118.24,34.0285
121306976,"02/18/2012",840,8,"UNKNOWN FIREARM","Invest Cont","4900    WADSWORTH                    AV","",-118.2587,33.9993
121307030,"02/19/2012",530,5,"HAND GUN","Adult Other","600 E  45TH                         ST","",-118.2652,34.0025
121307187,"02/21/2012",1900,19,"HAND GUN","Invest Cont","5000    HOOPER                       AV","",-118.2521,33.9977
121307221,"02/21/2012",2000,20,"UNKNOWN FIREARM","Adult Other","BROADWAY","47TH",-118.2783,34.0011
121307584,"02/29/2012",830,8,"HAND GUN","Invest Cont","100 E  36TH                         ST","",-118.2736,34.0171
121307822,"03/03/2012",2325,23,"SEMI-AUTOMATIC PISTOL","Invest Cont","4400    METTLER                      ST","",-118.2665,34.0039
121308263,"03/11/2012",1539,15,"SEMI-AUTOMATIC PISTOL","Invest Cont","200 W  50TH                         ST","",-118.2762,33.9974
121308363,"03/13/2012",950,9,"HAND GUN","Invest Cont","63RD","GRAND",-118.2802,33.9818
121308449,"03/13/2012",2300,23,"UNKNOWN FIREARM","Invest Cont","6300 S  BROADWAY","",-118.2783,33.9824
121308597,"03/16/2012",2110,21,"HAND GUN","Invest Cont","5300    STAUNTON                     AV","",-118.2415,33.9946
121309986,"04/07/2012",115,1,"SEMI-AUTOMATIC PISTOL","Invest Cont","5800    METTLER                      ST","",-118.2664,33.9893
121310147,"04/10/2012",1235,12,"UNKNOWN FIREARM","Invest Cont","54TH","BROADWAY",-118.2783,33.9933
121310616,"04/19/2012",140,1,"UNKNOWN FIREARM","Invest Cont","500 E  60TH                         ST","",-118.2667,33.9852
121310646,"04/19/2012",1120,11,"HAND GUN","Adult Arrest","1400 E  48TH                         PL","",-118.2499,33.9993
121311603,"05/04/2012",1815,18,"HAND GUN","Invest Cont","47TH                         PL","WALL                         ST",-118.2718,34.0002
121312040,"05/13/2012",1750,17,"HAND GUN","Invest Cont","300 E  62ND                         ST","",-118.2695,33.9834
121312136,"05/15/2012",1235,12,"SEMI-AUTOMATIC PISTOL","Invest Cont","36TH","ADAIR",-118.2672,34.0142
121312275,"05/17/2012",2330,23,"UNKNOWN FIREARM","Invest Cont","5300    HOLMES                       AV","",-118.2411,33.9947
121312379,"05/18/2012",2000,20,"HAND GUN","Invest Cont","100 W  38TH                         ST","",-118.274,34.0131
121312926,"05/29/2012",1600,16,"SHOTGUN","Invest Cont","800 E  45TH                         ST","",-118.2617,34.0026
121313357,"06/06/2012",1140,11,"SEMI-AUTOMATIC PISTOL","Invest Cont","5300    BANDERA                      ST","",-118.2407,33.9941
121313563,"06/10/2012",1515,15,"REVOLVER","Invest Cont","800 E  ADAMS                        BL","",-118.2594,34.0207
121313596,"06/10/2012",2055,20,"HAND GUN","Invest Cont","100 E  61ST                         ST","",-118.2739,33.9843
121314774,"07/01/2012",215,2,"SEMI-AUTOMATIC PISTOL","Invest Cont","3700    WALL                         ST","",-118.27,34.0147
121314778,"07/01/2012",1,0,"UNKNOWN FIREARM","Invest Cont","3700    WALL                         ST","",-118.27,34.0147
121315672,"07/14/2012",2015,20,"HAND GUN","Invest Cont","SAN PEDRO                    ST","MARTIN LUTHER KING JR        BL",-118.268,34.0112
